Id,SalePrice
2658,116562.88809064217
2718,152436.90883758126
2414,204029.89295723496
1989,105939.51015265117
625,176048.64474808172
333,93207.37727788233
1327,99219.30911636395
858,151826.94081550188
95,169674.55488266438
1568,163023.1032967993
2482,157618.5217939009
1364,120521.67811842874
2584,152420.23018651363
818,250145.51007800899
2673,153632.0789299382
2089,136827.6473917498
1297,135540.95834833864
790,117577.5417612728
2616,198682.2787322754
720,175815.79865234072
222,150126.87191984555
557,136363.55352110663
1148,192286.29937244323
2766,168697.5831380963
534,195320.9509944964
1452,118915.47904890572
630,131714.1658880578
2648,115586.10229266873
125,166138.04467347165
1904,64103.942084098904
1670,109548.05584801402
756,100369.89058335609
717,201192.41711681295
1032,154365.296055176
852,206846.92299354624
1731,181448.73603420187
2639,118369.86540453031
2071,87603.134250136
1267,97607.11818035574
1851,193338.2295756598
567,155561.91720222394
2439,215921.5510214999
1898,160909.83135870617
647,154414.03145722087
2256,218469.17427196229
979,107935.91268685748
1444,223122.0382797397
2485,113013.58894446719
157,133136.0945629445
88,130973.41694829965
2003,98475.60006633915
186,188078.72200482615
1425,242737.89861084192
2695,123424.39397688891
738,109070.06647740137
395,155379.1331792452
1353,178654.7403392093
1878,147803.96546777917
390,162736.64088655025
1456,233456.08138739946
1103,321214.8196951483
1387,134137.61116277255
2070,146822.9998060681
1199,189358.1527225528
2479,178573.47737967974
501,300879.07019785914
2362,95938.24928892114
1718,209740.70870042226
2188,82628.69275260462
1483,156497.48988664075
2557,81651.6296725474
437,339276.6933627343
2224,182021.7294887668
1628,162674.62272262352
397,146065.90254506984
587,191229.02325401825
971,136536.30982453757
2611,151576.9460721953
1887,101140.12256291944
2399,358286.46504875476
2148,193118.27631534342
304,111728.25694401981
1997,140189.07949537196
2817,126307.6754466839
1431,210264.47025656098
427,327666.31892281695
263,122599.02983878195
598,170315.59237947906
2895,224668.7733077861
687,160086.7014283123
1822,139716.4422751228
2191,98562.22004594412
179,122351.77089300155
1009,207072.31297050792
2010,124665.98347988448
1991,144812.15290718782
1411,162941.95995056053
1721,234111.03721003784
1144,190859.9147287111
593,218953.0020929759
575,321920.2473938105
1249,154744.19808852507
1604,119731.64781429895
1064,413634.9922722439
1923,171380.78046569842
1988,96229.77879543243
2325,173967.30966585153
114,196476.54504379976
2700,168549.37432893645
217,104805.5659271828
343,176259.9880631935
386,234051.1787171349
2005,140739.4085345326
2908,128754.50525986182
1814,228527.4346732898
2446,508100.45274924906
208,127038.08525185358
1679,100877.06905417364
822,317005.5041664824
6,187574.27819015016
1781,373099.231169092
2397,293301.18720805325
2340,317033.0414466557
1618,167118.98427300024
2843,134393.85258800833
1061,343341.14884323097
2786,124038.76701570862
1935,142511.91037452064
1341,124752.99331732007
521,279950.69398335787
2136,125548.64154331521
996,204139.45099071896
227,146364.75337217582
135,180189.21056429463
1167,169488.76282011683
294,259526.15371345275
1776,210503.46339967675
540,173997.8224804976
1717,210002.09174589947
2303,130308.11639676716
116,190788.97019036033
127,132614.6267796082
1371,131435.21057242603
1014,150876.40607338984
1507,92520.35674437677
702,124720.18972485005
750,138854.6364604044
261,156846.98439487672
1559,73173.09360017233
577,209103.740431051
2812,201719.11862289428
2080,157313.2623118139
1368,108005.41704082499
2376,118523.65289393836
659,98217.39187337716
1235,137568.8376561179
332,83372.65440233727
1917,141830.98166627018
2094,235525.86717218856
1460,256806.60718084496
1471,216848.57769570936
